Andorra,AND,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,100.0,2016
Andorra,AND,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,100.0,2016
Angola,AGO,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68056,,,,,,,,,,,,,27.02533,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,27.02533,2014
Angola,AGO,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86121,,,,,,,,,,,,,11.43792,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,11.43792,2014
Angola,AGO,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79661,,,,,,,,,,,,,47.48307,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,47.48307,2014
Angola,AGO,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.70624,,,,,,,,,,,,,62.4702,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,62.4702,2014
Angola,AGO,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6512,,,,,,,,,,,,,47.12731,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,47.12731,2014
Angola,AGO,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.83456,,,,,,,,,,,,,79.37238,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,79.37238,2014
Angola,AGO,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19449,,,,,,,,,,,,,77.43113,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,77.43113,2014
Angola,AGO,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18212,,,,,,,,,,,,,70.58513,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,70.58513,2014
Angola,AGO,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.77693,,,,,,,,,,,,,84.86238,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,84.86238,2014
Argentina,ARG,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,86.3972778320313,,,,,,,,,,,91.4311828613281,,,,,,,,,,93.81913,,,,,,,,,,,,,,95.09,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,95.09,2015
Argentina,ARG,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,85.1029663085938,,,,,,,,,,,90.7069091796875,,,,,,,,,,93.49612,,,,,,,,,,,,,,94.97,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,94.97,2015
Argentina,ARG,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,88.1037292480469,,,,,,,,,,,92.4339981079102,,,,,,,,,,94.29155,,,,,,,,,,,,,,95.27,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,95.27,2015
Argentina,ARG,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,94.20281,,,,,,,,,,,96.13165,,,,,,,,,,97.26172,,,,,,,,,,,,,,98.37,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,98.37,2015
Argentina,ARG,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,93.97339,,,,,,,,,,,96.15129,,,,,,,,,,97.40356,,,,,,,,,,,,,,98.55,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,98.55,2015
Argentina,ARG,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,94.4395,,,,,,,,,,,96.11106,,,,,,,,,,97.11152,,,,,,,,,,,,,,98.18,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,98.18,2015
Argentina,ARG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,96.8825378417969,,,,,,,,,,,98.3046417236328,,,,,,,,,,98.91666,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,99.3,2015
Argentina,ARG,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,97.3024826049805,,,,,,,,,,,98.5402069091797,,,,,,,,,,99.12767,,,,,,,,,,,,,,99.48,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,99.48,2015
Argentina,ARG,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,96.4592208862305,,,,,,,,,,,98.0654907226563,,,,,,,,,,98.7079,,,,,,,,,,,,,,99.13,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,99.13,2015
Armenia,ARM,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,,,,,,,,,88.34375,,,,,,,,,,,,96.794,,,,,,,,,,98.94344,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,98.94344,2011
Armenia,ARM,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,,,,,,,,,85.1322784423828,,,,,,,,,,,,95.49861,,,,,,,,,,98.57369,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,98.57369,2011
Armenia,ARM,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,,,,,,,,,93.8269119262695,,,,,,,,,,,,98.68508,,,,,,,,,,99.49292,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.49292,2011
Armenia,ARM,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,,,,,,,,,99.46982,,,,,,,,,,,,99.77355,,,,,,,,,,99.86799,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.86799,2011
Armenia,ARM,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,,,,,,,,,,99.27482,,,,,,,,,,,,99.73853,,,,,,,,,,99.88,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.88,2011
Armenia,ARM,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,,,,,,,,,,99.67857,,,,,,,,,,,,99.81322,,,,,,,,,,99.85444,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.85444,2011
Armenia,ARM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,99.9099578857422,,,,,,,,,,,,99.80728,,,,,,,,,,99.8474,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.8474,2011
Armenia,ARM,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.9105682373047,,,,,,,,,,,,99.86167,,,,,,,,,,99.87619,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.87619,2011
Armenia,ARM,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,99.9093704223633,,,,,,,,,,,,99.75235,,,,,,,,,,99.81842,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.81842,2011
